"status","count","percent_of_total"
"Probation","14363","46.65%"
"Probation - Compact","1128","3.66%"
"Probation - Nonadjudicated","2598","8.44%"
"Probation - Post Release","7230","23.48%"
"PROBATION TOTAL","25319","82.23%"
"Parole","1922","6.24%"
"Parole - Compact","432","1.40%"
"Parole - Suspension","0","0.00%"
"PAROLE TOTAL","2354","7.64%"
"Intensive Supervision Program - Court","1229","3.99%"
"Intensive Supervision Program - Prison","222","0.72%"
"Earned Release Supervision","1660","5.39%"
"Medical Release","8","0.03%"
"COMMUNITY INMATE TOTAL","3119","10.13%"
"TOTAL","30792","100.00%"
