"status","count","percent_of_total"
"Probation","10808","34.07%"
"Probation - Compact","1243","3.92%"
"Probation - Nonadjudicated","3415","10.76%"
"Probation - Post Release","8920","28.12%"
"PROBATION TOTAL","24386","76.87%"
"Parole","4102","12.93%"
"Parole - Compact","435","1.37%"
"Parole - Suspension","0","0.00%"
"PAROLE TOTAL","4537","14.30%"
"Intensive Supervision Program - Court","975","3.07%"
"Intensive Supervision Program - Prison","180","0.57%"
"Earned Release Supervision","1608","5.07%"
"Medical Release","38","0.12%"
"COMMUNITY INMATE TOTAL","2801","8.83%"
"TOTAL","31724","100.00%"
