"status","count","percent_of_total"
"Probation","11304","40.03%"
"Probation - Compact","1229","4.35%"
"Probation - Nonadjudicated","2708","9.59%"
"Probation - Post Release","7635","27.04%"
"PROBATION TOTAL","22876","81.01%"
"Parole","1985","7.03%"
"Parole - Compact","473","1.67%"
"Parole - Suspension","0","0.00%"
"PAROLE TOTAL","2458","8.70%"
"Intensive Supervision Program - Court","934","3.31%"
"Intensive Supervision Program - Prison","259","0.92%"
"Earned Release Supervision","1700","6.02%"
"Medical Release","13","0.05%"
"COMMUNITY INMATE TOTAL","2906","10.29%"
"TOTAL","28240","100.00%"
