"status","count","percent_of_total"
"Probation","16403","54.39%"
"Probation - Compact (from other states)","1238","4.11%"
"Probation - Nonadjudicated","1854","6.15%"
"Probation - Post Release","4767","15.81%"
"PROBATION TOTAL","24262","80.45%"
"Parole","1976","6.55%"
"Parole - Compact (from other states)","512","1.70%"
"Parole - Suspension","0","0.00%"
"PAROLE TOTAL","2488","8.25%"
"Intensive Supervision Program - Court","1315","4.36%"
"Intensive Supervision Program - Prison","291","0.96%"
"Earned Release Supervision","1791","5.94%"
"Medical Release","11","0.04%"
"COMMUNITY INMATE TOTAL","3408","11.30%"
"TOTAL","30158","100.00%"
