"status","count","percent_of_total"
"Probation","11,200","49.69%"
"Compact Probation","1,080","4.79%"
"Nonadjudicated","2,288","10.15%"
"Post Release","3,643","16.16%"
"PROBATION TOTAL","18,211","80.80%"
"Parole","1,366","6.06%"
"Compact Parole","401","1.78%"
"Suspension","10","0.04%"
"PAROLE TOTAL","1,777","7.88%"
"Intensive Supervision Program - Court","1,050","4.66%"
"Intensive Supervision Program - Prison","319","1.42%"
"Earned Release Supervision","1,182","5.24%"
"Medical Release","0","0.00%"
"COMMUNITY INMATE TOTAL","2,551","11.32%"
"TOTAL","22,539","100.00%"
