"status","count","percent_of_total"
"Probation","10,913","55.37%"
"Compact Probation","1,120","5.68%"
"Nonadjudicated","1,901","9.65%"
"Post Release","1,877","9.52%"
"PROBATION TOTAL","15,811","80.22%"
"Parole","1,226","6.22%"
"Compact Parole","436","2.21%"
"Suspension","8","0.04%"
"PAROLE TOTAL","1,670","8.47%"
"Intensive Supervision Program - Court","963","4.89%"
"Intensive Supervision Program - Prison","281","1.43%"
"Earned Release Supervision","983","4.99%"
"Medical Release","1","0.01%"
"COMMUNITY INMATE TOTAL","2,228","11.30%"
"TOTAL","19,709","100.00%"
