"status","count","percent_of_total"
"Probation","10575","51.17%"
"Compact Probation","1024","4.96%"
"Nonadjudicated","2155","10.43%"
"Post Release","2505","12.12%"
"PROBATION TOTAL","16259","78.68%"
"Parole","1460","7.07%"
"Compact Parole","391","1.89%"
"Suspension","7","0.03%"
"PAROLE TOTAL","1858","8.99%"
"Intensive Supervision Program - Court","1174","5.68%"
"Intensive Supervision Program - Prison","268","1.30%"
"Earned Release Supervision","1106","5.35%"
"Medical Release","0","0.00%"
"COMMUNITY INMATE TOTAL","2548","12.33%"
"TOTAL","20665","100.00%"
