"status","count","percent_of_total"
"Probation","10,282","26.81%"
"Probation - Compact","1,025","2.67%"
"Probation - Nonadjudicated","4,329","11.29%"
"Probation - Post Release","12,647","32.98%"
"PROBATION TOTAL","28,283","73.75%"
"Parole","6,551","17.08%"
"Parole - Compact","309","0.81%"
"Parole - Suspension","0",".00%"
"PAROLE TOTAL","6,860","17.89%"
"Intensive Supervision Program - Court","1,205","3.14%"
"Intensive Supervision Program - Prison","420","1.10%"
"Earned Release Supervision","1,555","4.05%"
"Medical Release","25",".07%"
"COMMUNITY INMATE TOTAL","3,205","8.36%"
"TOTAL","38,348","100.00%"
