"status","count","percent_of_total"
"Probation","10766","54.48%"
"Compact Probation","1117","5.65%"
"Nonadjudicated","1890","9.56%"
"Post Release","1956","9.90%"
"PROBATION TOTAL","15729","79.59%"
"Parole","1246","6.30%"
"Compact Parole","437","2.21%"
"Suspension","8","0.04%"
"PAROLE TOTAL","1691","8.56%"
"Intensive Supervision Program - Court","997","5.04%"
"Intensive Supervision Program - Prison","301","1.52%"
"Earned Release Supervision","1045","5.29%"
"Medical Release","0","0.00%"
"COMMUNITY INMATE TOTAL","2343","11.86%"
"TOTAL","19763","100.00%"
