"status","count","percent_of_total"
"Probation","9087","20.33%"
"Probation - Compact","1277","2.86%"
"Probation - Nonadjudicated","4636","10.37%"
"Probation - Post Release","18998","42.50%"
"TVC Probation","170","0.38%"
"PROBATION TOTAL","34168","76.43%"
"Parole","7953","17.79%"
"Parole - Compact","506","1.13%"
"Parole - Suspension","0","0.00%"
"TVC Parole","375","0.84%"
"PAROLE TOTAL","8834","19.76%"
"Intensive Supervision Program - Court","746","1.67%"
"Intensive Supervision Program - Prison","94","0.21%"
"Earned Release Supervision","848","1.90%"
"Medical Release","14","0.03%"
"COMMUNITY INMATE TOTAL","1702","6.69%"
"TOTAL","44704","100.00%"
