"status","count","percent_of_total"
"Probation","10382","27.45%"
"Probation - Compact","1048","2.77%"
"Probation - Nonadjudicated","4328","11.44%"
"Probation - Post Release","12219","32.31%"
"PROBATION TOTAL","27977","73.98%"
"Parole","6502","17.19%"
"Parole - Compact","329","0.87%"
"Parole - Suspension","0",".00%"
"PAROLE TOTAL","6831","18.06%"
"Intensive Supervision Program - Court","1112","2.94%"
"Intensive Supervision Program - Prison","427","1.13%"
"Earned Release Supervision","1437","3.80%"
"Medical Release","34",".09%"
"COMMUNITY INMATE TOTAL","3010","7.96%"
"TOTAL","37818","100.00%"
