"status","count","percent_of_total"
"Probation","10,938","55.55%"
"Compact Probation","1,131","5.74%"
"Nonadjudicated","1,902","9.66%"
"Post Release","1,820","9.24%"
"PROBATION TOTAL","15,791","80.19%"
"Parole","1,233","6.26%"
"Compact Parole","433","2.20%"
"Suspension","8","0.04%"
"PAROLE TOTAL","1,674","8.50%"
"Intensive Supervision Program - Court","937","4.76%"
"Intensive Supervision Program - Prison","306","1.55%"
"Earned Release Supervision","983","4.99%"
"Medical Release","1","0.01%"
"COMMUNITY INMATE TOTAL","2,227","11.31%"
"TOTAL","19,692","100.00%"
