"status","count","percent_of_total"
"Probation","17050","59.64%"
"Probation - Compact","1135","3.97%"
"Probation - Nonadjudicated","1305","4.56%"
"Probation - Post Release","3248","11.36%"
"PROBATION TOTAL","22738","79.53%"
"Parole","1981","6.93%"
"Parole - Compact","466","1.63%"
"Parole - Suspension","0","0.00%"
"PAROLE TOTAL","2447","8.56%"
"Intensive Supervision Program - Court","1177","4.12%"
"Intensive Supervision Program - Prison","358","1.25%"
"Earned Release Supervision","1863","6.52%"
"Medical Release","7","0.02%"
"COMMUNITY INMATE TOTAL","3405","11.91%"
"TOTAL","28590","100.00%"
