"status","count","percent_of_total"
"Probation","10561","29.22%"
"Probation - Compact","1031","2.85%"
"Probation - Nonadjudicated","4245","11.75%"
"Probation - Post Release","10653","29.48%"
"PROBATION TOTAL","26490","73.30%"
"Parole","6234","17.25%"
"Parole - Compact","330","0.91%"
"Parole - Suspension","0",".00%"
"PAROLE TOTAL","6564","18.16%"
"Intensive Supervision Program - Court","1154","3.19%"
"Intensive Supervision Program - Prison","445","1.23%"
"Earned Release Supervision","1443","3.99%"
"Medical Release","44",".12%"
"COMMUNITY INMATE TOTAL","3086","8.54%"
"TOTAL","36140","100.00%"
