"status","count","percent_of_total"
"Probation","10217","51.53%"
"Compact Probation","1034","5.21%"
"Nonadjudicated","1930","9.73%"
"Post Release","2271","11.45%"
"PROBATION TOTAL","15452","77.93%"
"Parole","1474","7.43%"
"Compact Parole","395","1.99%"
"Suspension","8","0.04%"
"PAROLE TOTAL","1877","9.47%"
"Intensive Supervision Program - Court","1183","5.97%"
"Intensive Supervision Program - Prison","270","1.36%"
"Earned Release Supervision","1046","5.28%"
"Medical Release","0","0.00%"
"COMMUNITY INMATE TOTAL","2499","12.60%"
"TOTAL","19828","100.00%"
