"status","count","percent_of_total"
"Probation","10200","29.27%"
"Probation - Compact","1016","2.92%"
"Probation - Nonadjudicated","3971","11.40%"
"Probation - Post Release","10009","28.72%"
"PROBATION TOTAL","25196","72.31%"
"Parole","6223","17.86%"
"Parole - Compact","335","0.96%"
"Parole - Suspension","0",".00%"
"PAROLE TOTAL","6558","18.82%"
"Intensive Supervision Program - Court","1171","3.36%"
"Intensive Supervision Program - Prison","439","1.26%"
"Earned Release Supervision","1438","4.13%"
"Medical Release","43",".12%"
"COMMUNITY INMATE TOTAL","3091","8.87%"
"TOTAL","34845","100.00%"
