"status","count","percent_of_total"
"Probation","10718","54.25%"
"Compact Probation","1059","5.36%"
"Nonadjudicated","1862","9.42%"
"Post Release","2053","10.39%"
"PROBATION TOTAL","15692","79.43%"
"Parole","1315","6.66%"
"Compact Parole","424","2.15%"
"Suspension","8","0.04%"
"PAROLE TOTAL","1747","8.84%"
"Intensive Supervision Program - Court","1032","5.22%"
"Intensive Supervision Program - Prison","303","1.53%"
"Earned Release Supervision","981","4.97%"
"Medical Release","1","0.01%"
"COMMUNITY INMATE TOTAL","2317","11.73%"
"TOTAL","19756","100.00%"
