"status","count","percent_of_total"
"Probation","11614","49.59%"
"Compact Probation","1057","4.51%"
"Nonadjudicated","2336","9.97%"
"Post Release","3977","16.98%"
"PROBATION TOTAL","18984","81.06%"
"Parole","1375","5.87%"
"Compact Parole","404","1.73%"
"Suspension","10","0.04%"
"PAROLE TOTAL","1789","7.64%"
"Intensive Supervision Program - Court","1037","4.43%"
"Intensive Supervision Program - Prison","353","1.51%"
"Earned Release Supervision","1257","5.37%"
"Medical Release","0","0.00%"
"COMMUNITY INMATE TOTAL","2647","11.30%"
"TOTAL","23420","100.00%"
