"status","count","percent_of_total"
"Probation","5913","16.82%"
"Probation - Compact","1248","3.55%"
"Probation - Nonadjudicated","3549","10.09%"
"Probation - Post Release","15137","43.05%"
"TVC Probation","143","0.41%"
"PROBATION TOTAL","25990","73.92%"
"Parole","7122","20.26%"
"Parole - Compact","571","1.62%"
"Parole - Suspension","0","0.00%"
"TVC Parole","126","0.36%"
"PAROLE TOTAL","7819","22.24%"
"Intensive Supervision Program - Court","713","2.03%"
"Intensive Supervision Program - Prison","24","0.07%"
"Earned Release Supervision","600","1.71%"
"Medical Release","13","0.04%"
"Conditional Release","2","0.006%"
"COMMUNITY INMATE TOTAL","1352","6.69%"
"TOTAL","35161","100.00%"
