"status","count","percent_of_total"
"Probation","8,886","21.81%"
"Probation - Compact","1,362","3.34%"
"Probation - Nonadjudicated","4,214","10.34%"
"Probation - Post Release","16,222","39.82%"
"PROBATION TOTAL","30,684","75.31%"
"Parole","6,374","15.64%"
"Parole - Compact","448","1.10%"
"Parole - Suspension","0",".00%"
"PAROLE TOTAL","6,822","16.74%"
"Intensive Supervision Program - Court","1,076","2.64%"
"Intensive Supervision Program - Prison","470","1.15%"
"Earned Release Supervision","1,666","4.09%"
"Medical Release","24",".06%"
"COMMUNITY INMATE TOTAL","3,236","7.94%"
"TOTAL","40,742","100.00%"
