"status","count","percent_of_total"
"Probation","9457","20.25%"
"Probation - Compact","1337","2.86%"
"Probation - Nonadjudicated","4649","9.95%"
"Probation - Post Release","18955","40.58%"
"TVC Probation","153","0.33%"
"PROBATION TOTAL","34551","73.97%"
"Parole","9045","19.37%"
"Parole - Compact","517","1.11%"
"Parole - Suspension","0","0.00%"
"TVC Parole","344","0.74%"
"PAROLE TOTAL","9906","21.21%"
"Intensive Supervision Program - Court","1032","2.21%"
"Intensive Supervision Program - Prison","228","0.49%"
"Earned Release Supervision","973","2.08%"
"Medical Release","17","0.04%"
"COMMUNITY INMATE TOTAL","2250","6.69%"
"TOTAL","46707","100.00%"
