"status","count","percent_of_total"
"Probation","10082","29.64%"
"Probation - Compact","1024","3.01%"
"Probation - Nonadjudicated","3857","11.34%"
"Probation - Post Release","9726","28.60%"
"PROBATION TOTAL","24689","72.59%"
"Parole","5961","17.53%"
"Parole - Compact","347","1.02%"
"Parole - Suspension","0",".00%"
"PAROLE TOTAL","6308","18.55%"
"Intensive Supervision Program - Court","1121","3.30%"
"Intensive Supervision Program - Prison","385","1.13%"
"Earned Release Supervision","1465","4.31%"
"Medical Release","43",".13%"
"COMMUNITY INMATE TOTAL","3014","8.86%"
"TOTAL","34011","100.00%"
