"status","count","percent_of_total"
"Probation","10311","51.00%"
"Compact Probation","1040","5.14%"
"Nonadjudicated","2019","9.99%"
"Post Release","2434","12.04%"
"PROBATION TOTAL","15804","78.17%"
"Parole","1480","7.32%"
"Compact Parole","395","1.95%"
"Suspension","8","0.04%"
"PAROLE TOTAL","1883","9.31%"
"Intensive Supervision Program - Court","1168","5.78%"
"Intensive Supervision Program - Prison","283","1.40%"
"Earned Release Supervision","1080","5.34%"
"Medical Release","0","0.00%"
"COMMUNITY INMATE TOTAL","2531","12.52%"
"TOTAL","20218","100.00%"
