"status","count","percent_of_total"
"Probation","10524","28.36%"
"Probation - Compact","1043","2.81%"
"Probation - Nonadjudicated","4367","11.77%"
"Probation - Post Release","11339","30.55%"
"PROBATION TOTAL","27273","73.48%"
"Parole","6360","17.14%"
"Parole - Compact","338","0.91%"
"Parole - Suspension","0",".00%"
"PAROLE TOTAL","6698","18.05%"
"Intensive Supervision Program - Court","1183","3.19%"
"Intensive Supervision Program - Prison","454","1.22%"
"Earned Release Supervision","1467","3.95%"
"Medical Release","39",".11%"
"COMMUNITY INMATE TOTAL","3143","8.47%"
"TOTAL","37114","100.00%"
