"status","count","percent_of_total"
"Probation","11148","57.21%"
"Compact Probation","1088","5.58%"
"Nonadjudicated","1887","9.68%"
"Post Release","1549","7.95%"
"PROBATION TOTAL","15672","80.42%"
"Parole","1247","6.40%"
"Compact Parole","418","2.15%"
"Suspension","9","0.05%"
"PAROLE TOTAL","1674","8.59%"
"Intensive Supervision Program - Court","815","4.18%"
"Intensive Supervision Program - Prison","388","1.99%"
"Earned Release Supervision","936","4.80%"
"Medical Release","2","0.01%"
"COMMUNITY INMATE TOTAL","2141","10.99%"
"TOTAL","19487","100.00%"
