"status","count","percent_of_total"
"Probation","16893","59.74%"
"Probation - Compact","1138","4.02%"
"Probation - Nonadjudicated","1254","4.43%"
"Probation - Post Release","3150","11.14%"
"PROBATION TOTAL","22435","79.34%"
"Parole","1957","6.92%"
"Parole - Compact","455","1.61%"
"Parole - Suspension","0","0.00%"
"PAROLE TOTAL","2412","8.53%"
"Intensive Supervision Program - Court","1147","4.06%"
"Intensive Supervision Program - Prison","389","1.38%"
"Earned Release Supervision","1887","6.67%"
"Medical Release","7","0.02%"
"COMMUNITY INMATE TOTAL","3430","12.13%"
"TOTAL","28277","100.00%"
