"status","count","percent_of_total"
"Probation","10885","50.76%"
"Compact Probation","1061","4.95%"
"Nonadjudicated","2320","10.82%"
"Post Release","2845","13.27%"
"PROBATION TOTAL","17111","79.79%"
"Parole","1344","6.27%"
"Compact Parole","393","1.83%"
"Suspension","8","0.04%"
"PAROLE TOTAL","1745","8.14%"
"Intensive Supervision Program - Court","1176","5.48%"
"Intensive Supervision Program - Prison","296","1.38%"
"Earned Release Supervision","1117","5.21%"
"Medical Release","0","0.00%"
"COMMUNITY INMATE TOTAL","2589","12.07%"
"TOTAL","21445","100.00%"
