"status","count","percent_of_total"
"Probation","10,247","27.02%"
"Probation - Compact","1,028","2.71%"
"Probation - Nonadjudicated","4,271","11.26%"
"Probation - Post Release","12,397","32.70%"
"PROBATION TOTAL","27,943","73.70%"
"Parole","6,518","17.19%"
"Parole - Compact","314","0.83%"
"Parole - Suspension","0",".00%"
"PAROLE TOTAL","6,832","18.02%"
"Intensive Supervision Program - Court","1,149","3.03%"
"Intensive Supervision Program - Prison","447","1.18%"
"Earned Release Supervision","1,514","3.99%"
"Medical Release","32",".08%"
"COMMUNITY INMATE TOTAL","3,142","8.29%"
"TOTAL","37,917","100.00%"
