"status","count","percent_of_total"
"Probation","8,887","19.92%"
"Probation - Compact","1,336","3.00%"
"Probation - Nonadjudicated","4,378","9.81%"
"Probation - Post Release","17,760","39.81%"
"TVC Probation","103","0.23%"
"PROBATION TOTAL","32,464","72.78%"
"Parole","8,623","19.33%"
"Parole - Compact","533","1.19%"
"Parole - Suspension","0","0.00%"
"TVC Parole","175","0.39%"
"PAROLE TOTAL","9,331","20.92%"
"Intensive Supervision Program - Court","1,070","2.40%"
"Intensive Supervision Program - Prison","428","0.96%"
"Earned Release Supervision","1,286","2.88%"
"Medical Release","20","0.04%"
"TVC","8","0.02%"
"COMMUNITY INMATE TOTAL","2,812","6.69%"
"TOTAL","44,607","100.00%"
