"status","count","percent_of_total"
"Probation","15885","53.09%"
"Probation - Compact","1103","3.69%"
"Probation - Nonadjudicated","1893","6.33%"
"Probation - Post Release","5361","17.92%"
"PROBATION TOTAL","24242","81.03%"
"Parole","2016","6.74%"
"Parole - Compact","487","1.63%"
"Parole - Suspension","0","0.00%"
"PAROLE TOTAL","2503","8.37%"
"Intensive Supervision Program - Court","1275","4.26%"
"Intensive Supervision Program - Prison","274","0.92%"
"Earned Release Supervision","1615","5.40%"
"Medical Release","10","0.03%"
"COMMUNITY INMATE TOTAL","3174","10.61%"
"TOTAL","29919","100.00%"
