"status","count","percent_of_total"
"Probation","10,345","52.27%"
"Compact Probation","1,036","5.23%"
"Nonadjudicated","1,879","9.49%"
"Post Release","2,206","11.15%"
"PROBATION TOTAL","15,466","78.14%"
"Parole","1,422","7.18%"
"Compact Parole","429","2.17%"
"Suspension","8","0.04%"
"PAROLE TOTAL","1,859","9.39%"
"Intensive Supervision Program - Court","1,178","5.95%"
"Intensive Supervision Program - Prison","299","1.51%"
"Earned Release Supervision","991","5.01%"
"Medical Release","0","0.00%"
"COMMUNITY INMATE TOTAL","2,468","12.47%"
"TOTAL","19,793","100.00%"
