"status","count","percent_of_total"
"Probation","10614","51.14%"
"Compact Probation","1017","4.90%"
"Nonadjudicated","2142","10.32%"
"Post Release","2513","12.11%"
"PROBATION TOTAL","16286","78.47%"
"Parole","1479","7.13%"
"Compact Parole","385","1.85%"
"Suspension","8","0.04%"
"PAROLE TOTAL","1872","9.02%"
"Intensive Supervision Program - Court","1192","5.74%"
"Intensive Supervision Program - Prison","289","1.39%"
"Earned Release Supervision","1116","5.38%"
"Medical Release","0","0.00%"
"COMMUNITY INMATE TOTAL","2597","12.51%"
"TOTAL","20755","100.00%"
