"status","count","percent_of_total"
"Probation","10,638","29.43%"
"Probation - Compact","1,012","2.80%"
"Probation - Nonadjudicated","4,220","11.68%"
"Probation - Post Release","10,526","29.12%"
"PROBATION TOTAL","26,396","73.03%"
"Parole","6,320","17.49%"
"Parole - Compact","327","0.90%"
"Parole - Suspension","0",".00%"
"PAROLE TOTAL","6,647","18.39%"
"Intensive Supervision Program - Court","1,162","3.21%"
"Intensive Supervision Program - Prison","442","1.22%"
"Earned Release Supervision","1,453","4.02%"
"Medical Release","44",".12%"
"COMMUNITY INMATE TOTAL","3,101","8.58%"
"TOTAL","36,144","100.00%"
