status,count,percent_of_total
probation,5527,16.03%
compact_probation,1366,3.96%
nonadjudicated,3454,10.02%
post_release,13477,39.08%
TVC_probation,147,0.43%
probation_total,23971,69.51%
parole,8256,23.94%
compact_parole,578,1.68%
suspension,0,0.00%
TVC_parole,258,0.75%
parole_total,9092,26.37%
ISP_court,774,2.24%
ISP_prison,44,0.13%
earned_release_supervision,580,1.68%
medical_release,15,0.04%
FTR_monitoring,6,0.02%
conditional_release,3,0.009%
community_inmate_total,1422,4.12%
total,34485,100.00%
