"CLASS","MALE AND FEMALE","%"
"Min. Community","3,830","15.18"
"Min. Non-Community","3,911","15.51"
"Medium","11,517","45.66"
"Close","3,469","13.75"
"Death Row","50",".20"
"*Unclassified","2,447","9.70"
"TOTAL","25,224","100.00"
