"FEMALE","BLACK","WHITE","HISPANIC","OTHER","TOTAL"
"*Y","0","0","0","0","0"
"*0","0","0","0","0","0"
"1","479","637","4","3","1,123"
"2","241","343","3","2","589"
"3","86","108","1","0","195"
"4","10","12","0","0","22"
"5","5","1","0","0","6"
"Verification Pending","118","187","2","2","309"
"TOTAL","939","1,288","10","7","2,244"
