"FEMALE","BLACK","WHITE","HISPANIC","OTHER","TOTAL","%"
"Less than 1 year","20","53","0","1","74","3.30"
"1 - 2 Years","163","229","2","3","397","17.70"
"3 - 5 Years","229","355","5","1","590","26.30"
"6 - 10 Years","214","324","1","0","539","24.03"
"11 - 20 Years","182","177","1","0","360","16.05"
"21 -30 Years","29","31","0","0","60","2.67"
"Greater Than 30 Years","12","13","0","0","25","1.11"
"Life","52","44","0","1","97","4.32"
"Death","0","2","0","0","2",".09"
"Verification Pending","38","60","1","0","99","4.41"
"TOTAL","939","1,288","10","6","2,243","100.00"
