"CLASS","MALE","%"
"Min. Community","3,320","14.45"
"Min. Non-Community","3,473","15.11"
"Medium","10,767","46.85"
"Close","3,420","14.88"
"Death Row","48",".21"
"*Unclassified","1,953","8.50"
"TOTAL","22,981","100.00"
