"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","11,018","56.01%"
"Compact Probation","1,124","5.71%"
"Nonadjudicated","1,912","9.72%"
"Post Release","1,742","8.85%"
"PROBATION TOTAL","15,796","80.29%"
"Parole","1,196","6.08%"
"Compact Parole","434","2.21%"
"Suspension","8","0.04%"
"PAROLE TOTAL","1,638","8.33%"
"Intensive Supervision Program - Court","892","4.53%"
"Intensive Supervision Program - Prison","333","1.69%"
"Earned Release Supervision","1,013","5.15%"
"Medical Release","1","0.01%"
"COMMUNITY INMATE TOTAL","2,239","11.38%"
"TOTAL","19,673","100.00%"
