"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","10,075","30.60%"
"Probation - Compact","1,091","3.31%"
"Probation - Nonadjudicated","3,736","11.35%"
"Probation - Post Release","9,546","29.00%"
"PROBATION TOTAL","24,448","74.26%"
"Parole","5,238","15.91%"
"Parole - Compact","373","1.13%"
"Parole - Suspension","0","0.00%"
"PAROLE TOTAL","5,611","17.04%"
"Intensive Supervision Program - Court","1,056","3.21%"
"Intensive Supervision Program - Prison","357","1.08%"
"Earned Release Supervision","1,415","4.30%"
"Medical Release","35","0.11%"
"COMMUNITY INMATE TOTAL","2,863","8.70%"
"TOTAL","32,922","100.00%"
