"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","10,762","53.97%"
"Compact Probation","1,047","5.25%"
"Nonadjudicated","1,908","9.57%"
"Post Release","2,114","10.60%"
"PROBATION TOTAL","15,831","79.39%"
"Parole","1,333","6.69%"
"Compact Parole","424","2.13%"
"Suspension","8","0.04%"
"PAROLE TOTAL","1,765","8.85%"
"Intensive Supervision Program - Court","1,031","5.17%"
"Intensive Supervision Program - Prison","322","1.61%"
"Earned Release Supervision","991","4.97%"
"Medical Release","0","0.00%"
"COMMUNITY INMATE TOTAL","2,344","11.76%"
"TOTAL","19,940","100.00%"
