"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","10,864","50.71%"
"Compact Probation","1,080","5.04%"
"Nonadjudicated","2,330","10.88%"
"Post Release","2,893","13.50%"
"PROBATION TOTAL","17,167","80.13%"
"Parole","1,373","6.41%"
"Compact Parole","399","1.86%"
"Suspension","9","0.04%"
"PAROLE TOTAL","1,781","8.31%"
"Intensive Supervision Program - Court","1,065","4.97%"
"Intensive Supervision Program - Prison","283","1.32%"
"Earned Release Supervision","1,128","5.27%"
"Medical Release","0","0.00%"
"COMMUNITY INMATE TOTAL","2,476","11.56%"
"TOTAL","21,424","100.00%"
