"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","11,459","48.95%"
"Compact Probation","1,054","4.50%"
"Nonadjudicated","2,321","9.91%"
"Post Release","4,151","17.73%"
"PROBATION TOTAL","18,985","81.10%"
"Parole","1,399","5.98%"
"Compact Parole","408","1.74%"
"Suspension","6","0.03%"
"PAROLE TOTAL","1,813","7.74%"
"Intensive Supervision Program - Court","1,029","4.40%"
"Intensive Supervision Program - Prison","343","1.47%"
"Earned Release Supervision","1,240","5.30%"
"Medical Release","0","0.00%"
"COMMUNITY INMATE TOTAL","2,612","11.16%"
"TOTAL","23,410","100.00%"
