"Program Area","Enrollment Capacity","Program Length"
"ABE","30","N/A"
"GED","24","16 Weeks"
"Basic Computer","10","8 Weeks"
"Life Skills","30","12 Weeks"
"Pre-Release","30","12 Weeks"
