"Program Area","Enrollment Capacity","Program Length"
"ABE","240","N/A"
"Barbering","20","1,500 Hours"
"Carpentry","50","1 Year"
"College Correspondence","5","N/A"
"Culinary Arts","20","600 Hours"
"Finance Class - Money Matters","20","3-6 Months"
"GED","240","N/A"
"Horticulture","20","600 Hours"
"Masonry","20","600 Hours"
"Moral Reconation Therapy","57","13 Weeks (Minimum)"
