"Program Area","Enrollment Capacity","Program Length"
"ABE","30","N/A"
"Advanced Education","60","N/A"
"Basic Computer","48","3 Months"
"Carpentry","60","3 Months"
"GED","25","N/A"
"Intermediate Computer","48","3 Months"
"Literacy","5","N/A"
