"Program Area","Enrollment Capacity","Program Length"
"ABE/Literacy","15","N/A"
"Building Trades","15","1,560 Hours"
"GED","25","N/A"
"Life Skills/Pre-Release","25","3 Months"
"Pipe-Fitting","15","1,000 Hours"
