"Program Area","Enrollment Capacity","Program Length"
"ABE/GED/Literacy & Night GED Tutoring Program","170","N/A"
"Basic Computer","36","26 Weeks"
"Cage Your Rage","25","8 Weeks"
"Culinary Arts","36","12 Months"
"Employment Skills","25","10 Weeks"
"Financial Literacy","25","15 Weeks"
"Horticulture","36","6 Months"
"Inside Out Dads","25","10 Weeks"
"Introduction to Construction/NCCER Core","20","9 Months"
"Moral Reconation Therapy","14","Participant's Pace"
