"Program Area","Enrollment Capacity","Program Length"
"ABE Literacy","10","N/A"
"Advanced Computer","10","6 Weeks"
"Anger Management","12","12 Weeks"
"Basic Computer","10","6 Weeks"
"Carpentry","20","12 Weeks"
"Computer Keyboard","10","6 Weeks"
"GED","25","N/A"
"Keyboarding","10","6 Weeks"
