"Program Area","Enrollment Capacity","Program Length"
"ABE/GED","32","N/A"
"Building Trades","7","1,560 Hours"
"HAVC I and II","40","9 Months"
"Life Skills","40","3 Months"
"Literacy","8","N/A"
