"Program Area","Enrollment Capacity","Program Length"
"Adult Basic Education (Literacy/GED)","35","N/A"
"Alcohol & Drug (Short-Term)","120","12 Weeks"
"Building Trades","15","15 Weeks"
"Discipleship","35","10-12 Weeks"
"GED","35","25 Weeks"
"Life Skills","35","9 Weeks"
