"Program Area","Enrollment Capacity","Program Length"
"Academic Basic Education (Literacy)","16","6-12 Months"
"Basic Computer","15","39 Hours"
"Discipleship","65","26 Hours"
"GED","13","6-12 Months"
"Pre-Release","45","26 Hours"
