"Program Area","Enrollment Capacity","Program Length"
"Academic Basic Education","15","12 Months"
"Building Trades","15","1,560 Hours"
"Discipleship 1,2 & 3","42","15 Hours"
"GED","25","N/A"
"Life Skills/Pre-Release","25","52 Hours"
"Pipe-Fitting","15","1,000 Hours"
"Understanding Islam","18","20 Hours"
