"type","count","percent_of_total"
"Custody Population","20433","39.38%"
"Community Corrections (ERS, ISP, Medical Release)","3433","6.62%"
"Other Custody","305","0.59%"
"At Large (Escapees & Walk-Aways)","123","0.24%"
"Off-Grounds Medical (Hospital)","6","0.01%"
"INMATE TOTAL","24300","46.84%"
"PAROLEES","2481","4.78%"
"PROBATIONERS","25103","48.38%"
"PAROLEE AND PROBATIONER TOTAL","27584","53.16%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","51884","100.00%"
