"type","count","percent_of_total"
"Custody Population","22739","44.39%"
"Community Corrections (ERS, ISP, Medical Release)","2955","5.77%"
"Other Custody","300","0.59%"
"At Large (Escapees & Walk-Aways)","63","0.12%"
"Off-Grounds Medical (Hospital)","6","0.01%"
"INMATE TOTAL","26063","50.88%"
"PAROLEES","2628","5.13%"
"PROBATIONERS","22533","43.99%"
"PAROLEE AND PROBATIONER TOTAL","25161","49.12%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","51224","100.00%"
