"type","count","percent_of_total"
"Custody Population","18086","48.19%"
"Community Corrections (ERS, ISP, Medical Release)","2104","5.61%"
"Other Custody","200","0.53%"
"At Large (Escapees & Walk-Aways)","66","0.18%"
"Inmate Total","20456","54.50%"
"PAROLEES","1666","4.44%"
"PROBATIONERS","15412","41.06%"
"Parolees & Probationers Total","17078","45.50%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","37534","100.00%"
