"type","count","percent_of_total"
"Custody Population","22766","44.58%"
"Community Corrections (ERS, ISP, Medical Release)","2969","5.81%"
"Other Custody","305","0.60%"
"At Large (Escapees & Walk-Aways)","63","0.12%"
"Off-Grounds Medical (Hospital)","4","0.01%"
"INMATE TOTAL","26107","51.12%"
"PAROLEES","2580","5.05%"
"PROBATIONERS","22385","43.83%"
"PAROLEE AND PROBATIONER TOTAL","24965","48.88%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","51072","100.00%"
