"type","count","percent_of_total"
"Custody Population","22987","43.75%"
"Community Corrections (ERS, ISP, Medical Release)","3115","5.93%"
"Other Custody","321","0.61%"
"At Large (Escapees & Walk-Aways)","58","0.11%"
"Off-Grounds Medical (Hospital)","3","0.01%"
"INMATE TOTAL","26484","50.41%"
"PAROLEES","3005","5.72%"
"PROBATIONERS","23052","43.87%"
"PAROLEE AND PROBATIONER TOTAL","26057","49.59%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","52541","100.00%"
