"offense","count","percent_of_total"
"Drug","3907","50.05%"
"Property","3118","39.94%"
"Aggravated Assault","78","1.00%"
"Violent","598","7.66%"
"Sex","105","1.35%"
"TOTAL","7806","100.00%"
