"offense","count","percent_of_total"
"Drug","4226","47.51%"
"Property","3699","41.59%"
"Violent","732","8.23%"
"Sex","123","1.38%"
"Aggravated Assault","115","1.29%"
"TOTAL","8895","100.00%"
