"offense","count","percent_of_total"
"Drug","4,013","48.86%"
"Property","3,345","40.73%"
"Aggravated Assault","109","1.33%"
"Violent","635","7.73%"
"Sex","111","1.35%"
"TOTAL","8,213","100.00%"
