"offense","count","percent_of_total"
"Drug","3762","48.99%"
"Property","3112","40.53%"
"Aggravated Assault","85","1.11%"
"Violent","617","8.03%"
"Sex","103","1.34%"
"TOTAL","7679","100.00%"
