"offense","count","percent_of_total"
"Drug","4,340","66.62%"
"Property","1,590","24.41%"
"Aggravated Assault","17",".26%"
"Violent","523","8.03%"
"Sex","45",".69%"
"TOTAL","6,515","100.00%"
