"offense","count","percent_of_total"
"Drug","3,961","50.45%"
"Property","3,175","40.44%"
"Aggravated Assault","105","1.34%"
"Violent","509","6.48%"
"Sex","101","1.29%"
"TOTAL","7,851","100.00%"
